idx,n,steps,in,out,epsilon,sigma,eW,truth,tNoise,tBias,dual,tA,tB,envA,prefA,shockT,shockΔ,bfθ,bfp,bfGain,CA,EA,seed,avg,std,delta,mae,tt_converge
62,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0,2,0.9),N(0.6,1,0.6482998238075617,0.006059268540934316,0.023853150456974226,0.20170017619243885,80
63,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0,2,0.9),0.15),0,0.6523141883263679,0.005543354843690295,0.021629576166244613,0.1976858116736323,81
64,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0,2,0.9),0.15),1,0.6482998238075617,0.006059268540934316,0.023853150456974226,0.20170017619243885,80
65,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,1,0.3,0.3,0,0.654382739138009,0.007668176217017819,0.037682369226451184,0.19561726086199144,82
66,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,1,0.3,0.3,1,0.6489687759437923,0.007398390409174523,0.03386444813262346,0.20103122405620744,83
67,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,1,0.3,0.8,0,0.6492196562633302,0.006953112194419507,0.03544590859115215,0.20078034373666948,81
68,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,1,0.3,0.8,1,0.649669105355341,0.007268729546054509,0.03465205800774762,0.200330894644659,83
69,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,1,0.3,N(0.6,0,0.6511289100251296,0.007700685887698356,0.038993158043425624,0.1988710899748704,80
70,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,1,0.3,N(0.6,1,0.6489851050672268,0.007743605135019491,0.034888890288923835,0.20101489493277303,80
71,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,1,0.3,0.15),0,0.6507572182525075,0.0077804921137668084,0.041347953661862835,0.19924278174749244,84
72,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,1,0.3,0.15),1,0.6489851050672268,0.007743605135019491,0.034888890288923835,0.20101489493277303,80
73,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,1,0.6,0.3,0,0.6493507837930232,0.005566640113431209,0.021781375809975745,0.20064921620697723,84
74,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,1,0.6,0.3,1,0.648220894677153,0.005340017188753884,0.02144028206876103,0.20177910532284657,82
75,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,1,0.6,0.8,0,0.65038820946209,0.005305582626236736,0.020006724613652938,0.19961179053791034,79
76,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,1,0.6,0.8,1,0.6489497908021293,0.005508808826204088,0.021773204695156645,0.20105020919787073,82
77,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,1,0.6,N(0.6,0,0.6497761263344098,0.005588972274067948,0.021039079575558284,0.20022387366559005,80
78,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,1,0.6,N(0.6,1,0.6482098196834246,0.00563464163752437,0.020626970798207078,0.20179018031657517,79
79,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,1,0.6,0.15),0,0.6491020624515262,0.0055892831055455216,0.01922685002214075,0.2008979375484736,77
80,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,1,0.6,0.15),1,0.6482098196834246,0.00563464163752437,0.020626970798207078,0.20179018031657517,79
81,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,1,U(0.4,0.3,0,0.6494147798643455,0.006287341273861742,0.02389297723444983,0.20058522013565472,84
82,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,1,U(0.4,0.3,1,0.6483196087070531,0.005678698485124683,0.023301911530420938,0.20168039129294713,83
83,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,1,U(0.4,0.8,0,0.6479390241949824,0.0057265764312482694,0.02491301222441744,0.20206097580501742,81
84,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,1,U(0.4,0.8,1,0.6490316213319128,0.005842399782978922,0.024794161894646893,0.2009683786680872,82
85,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,1,U(0.4,N(0.6,0,0.6499955334902281,0.005744138462298386,0.021817393747224356,0.20000446650977177,81
86,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,1,U(0.4,N(0.6,1,0.6482998238075617,0.006059268540934316,0.023853150456974226,0.20170017619243885,80
87,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,1,U(0.4,0.15),0,0.6485097917851658,0.00596071535114044,0.0230607230181209,0.2014902082148344,79
88,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,1,U(0.4,0.15),1,0.6482998238075617,0.006059268540934316,0.023853150456974226,0.20170017619243885,80
89,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,1,0.9),0.3,0,0.6498090020303562,0.005791331146917635,0.023271125195367115,0.20019099796964399,82
90,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,1,0.9),0.3,1,0.6483196087070531,0.005678698485124683,0.023301911530420938,0.20168039129294713,83
91,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,1,0.9),0.8,0,0.6489854911908653,0.005799537303743513,0.021330407222677206,0.2010145088091344,82
92,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,1,0.9),0.8,1,0.6490316213319128,0.005842399782978922,0.024794161894646893,0.2009683786680872,82
93,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,1,0.9),N(0.6,0,0.6539200060671546,0.005701162857022525,0.02448760643888115,0.19607999393284564,80
94,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,1,0.9),N(0.6,1,0.6482998238075617,0.006059268540934316,0.023853150456974226,0.20170017619243885,80
95,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,1,0.9),0.15),0,0.6524598536077515,0.0057383066491945986,0.02370618403645064,0.19754014639224896,79
96,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,1,0.9),0.15),1,0.6482998238075617,0.006059268540934316,0.023853150456974226,0.20170017619243885,80
97,200,365,1.2,0.2,0.02,0,0.02,0.6,0.05,0,on,0.35,0.85,0.3,U(0.3,180,-0.2,0.25,0.25,2,0.3,0.3,0,0.6486802618336764,0.0073197648806124236,0.03247298817891375,0.20131973816632306,79
