idx,n,steps,inTrust,outTrust,epsilon,sigma,evidenceWeight,truth,CA_spec,EA_spec,avg,std,delta
151,200,365,1.2,0.4,0.05,0,0.02,0.7,0.6,N(0.6,0.6998722523662222,2.2047363312556724e-15,7.771561172376096e-16
152,200,365,1.2,0.4,0.05,0,0.02,0.7,0.6,0.15),0.6998770118289892,1.8998118750073676e-15,9.992007221626409e-16
153,200,365,1.2,0.4,0.05,0,0.02,0.7,U(0.4,0.3,0.6998744918552682,1.5545897654540357e-15,4.440892098500626e-16
154,200,365,1.2,0.4,0.05,0,0.02,0.7,U(0.4,0.8,0.6998744995011762,5.065829776351653e-16,8.881784197001252e-16
155,200,365,1.2,0.4,0.05,0,0.02,0.7,U(0.4,N(0.6,0.6998697352350327,5.907179454222268e-16,6.661338147750939e-16
156,200,365,1.2,0.4,0.05,0,0.02,0.7,U(0.4,0.15),0.699874127329022,2.4237722279711357e-15,8.881784197001252e-16
157,200,365,1.2,0.4,0.05,0,0.02,0.7,0.9),0.3,0.6998841524862764,1.3454785460815723e-15,9.992007221626409e-16
158,200,365,1.2,0.4,0.05,0,0.02,0.7,0.9),0.8,0.6998734966246516,1.6278686507087714e-15,6.661338147750939e-16
159,200,365,1.2,0.4,0.05,0,0.02,0.7,0.9),N(0.6,0.699872977958819,3.6922218945169874e-16,6.661338147750939e-16
160,200,365,1.2,0.4,0.05,0,0.02,0.7,0.9),0.15),0.6998773765558769,2.1470691453433184e-16,6.661338147750939e-16
161,200,365,1.2,0.4,0.05,0,0.05,0.6,0.3,0.3,0.5999999992564407,2.1629412720899112e-15,3.3306690738754696e-16
162,200,365,1.2,0.4,0.05,0,0.05,0.6,0.3,0.8,0.5999999992538786,2.051781061545921e-15,5.551115123125783e-16
163,200,365,1.2,0.4,0.05,0,0.05,0.6,0.3,N(0.6,0.5999999992779123,7.394035333788264e-16,4.440892098500626e-16
164,200,365,1.2,0.4,0.05,0,0.05,0.6,0.3,0.15),0.5999999992098956,2.6466422236133963e-15,5.551115123125783e-16
165,200,365,1.2,0.4,0.05,0,0.05,0.6,0.6,0.3,0.5999999993875348,4.729862813444184e-16,5.551115123125783e-16
166,200,365,1.2,0.4,0.05,0,0.05,0.6,0.6,0.8,0.5999999991878865,3.501165364565901e-16,8.881784197001252e-16
167,200,365,1.2,0.4,0.05,0,0.05,0.6,0.6,N(0.6,0.5999999992875903,1.1413719066380759e-15,7.771561172376096e-16
168,200,365,1.2,0.4,0.05,0,0.05,0.6,0.6,0.15),0.5999999992573528,2.381214873821534e-15,6.661338147750939e-16
169,200,365,1.2,0.4,0.05,0,0.05,0.6,U(0.4,0.3,0.5999999992803603,2.3805548003857553e-15,3.3306690738754696e-16
170,200,365,1.2,0.4,0.05,0,0.05,0.6,U(0.4,0.8,0.5999999992785804,5.051819759162449e-16,8.881784197001252e-16
171,200,365,1.2,0.4,0.05,0,0.05,0.6,U(0.4,N(0.6,0.5999999993218982,2.037281938542255e-15,6.661338147750939e-16
172,200,365,1.2,0.4,0.05,0,0.05,0.6,U(0.4,0.15),0.5999999992962008,2.2151523017050894e-15,5.551115123125783e-16
173,200,365,1.2,0.4,0.05,0,0.05,0.6,0.9),0.3,0.5999999992639821,2.3548377344089273e-15,4.440892098500626e-16
174,200,365,1.2,0.4,0.05,0,0.05,0.6,0.9),0.8,0.5999999993212984,1.3426815286816504e-15,8.881784197001252e-16
175,200,365,1.2,0.4,0.05,0,0.05,0.6,0.9),N(0.6,0.5999999991996676,1.1905039058291007e-15,7.771561172376096e-16
176,200,365,1.2,0.4,0.05,0,0.05,0.6,0.9),0.15),0.5999999992412911,6.06622853455059e-16,8.881784197001252e-16
177,200,365,1.2,0.4,0.05,0,0.05,0.7,0.3,0.3,0.699999998534237,4.325597599836452e-16,5.551115123125783e-16
178,200,365,1.2,0.4,0.05,0,0.05,0.7,0.3,0.8,0.6999999985566202,8.059638029359178e-16,3.3306690738754696e-16
179,200,365,1.2,0.4,0.05,0,0.05,0.7,0.3,N(0.6,0.6999999986139309,5.109438871555062e-16,6.661338147750939e-16
180,200,365,1.2,0.4,0.05,0,0.05,0.7,0.3,0.15),0.6999999985376186,1.0501735682038026e-15,6.661338147750939e-16
181,200,365,1.2,0.4,0.05,0,0.05,0.7,0.6,0.3,0.6999999985925481,1.3905294079617894e-15,6.661338147750939e-16
182,200,365,1.2,0.4,0.05,0,0.05,0.7,0.6,0.8,0.6999999986336556,1.1172506983644316e-15,7.771561172376096e-16
183,200,365,1.2,0.4,0.05,0,0.05,0.7,0.6,N(0.6,0.6999999984877163,1.4736302659261978e-15,8.881784197001252e-16
184,200,365,1.2,0.4,0.05,0,0.05,0.7,0.6,0.15),0.6999999984920621,2.616689920163545e-16,7.771561172376096e-16
185,200,365,1.2,0.4,0.05,0,0.05,0.7,U(0.4,0.3,0.6999999984506927,9.122764137081302e-16,4.440892098500626e-16
186,200,365,1.2,0.4,0.05,0,0.05,0.7,U(0.4,0.8,0.6999999986091747,1.6476809397958296e-15,9.992007221626409e-16
187,200,365,1.2,0.4,0.05,0,0.05,0.7,U(0.4,N(0.6,0.6999999985446728,2.92791724071164e-16,1.1102230246251565e-15
188,200,365,1.2,0.4,0.05,0,0.05,0.7,U(0.4,0.15),0.6999999984764179,3.4025301925859192e-15,7.771561172376096e-16
189,200,365,1.2,0.4,0.05,0,0.05,0.7,0.9),0.3,0.69999999847032,1.1615766426366503e-15,8.881784197001252e-16
190,200,365,1.2,0.4,0.05,0,0.05,0.7,0.9),0.8,0.6999999984623182,2.036707088979197e-15,8.881784197001252e-16
191,200,365,1.2,0.4,0.05,0,0.05,0.7,0.9),N(0.6,0.6999999985328007,1.4799318726334246e-15,6.661338147750939e-16
192,200,365,1.2,0.4,0.05,0,0.05,0.7,0.9),0.15),0.6999999985258657,1.516684121884354e-15,5.551115123125783e-16
193,200,365,1.2,0.4,0.05,0.01,0.02,0.6,0.3,0.3,0.6076769569844379,0.013903277036859063,0.06326923413418106
194,200,365,1.2,0.4,0.05,0.01,0.02,0.6,0.3,0.8,0.5953974637808936,0.012928462091067653,0.07261664150047453
195,200,365,1.2,0.4,0.05,0.01,0.02,0.6,0.3,N(0.6,0.600535102708647,0.013081206291367147,0.0671316119512243
196,200,365,1.2,0.4,0.05,0.01,0.02,0.6,0.3,0.15),0.5999525584823285,0.013773346413689123,0.08498439815450021
197,200,365,1.2,0.4,0.05,0.01,0.02,0.6,0.6,0.3,0.6001346560833626,0.01021895513993508,0.06417926092683846
198,200,365,1.2,0.4,0.05,0.01,0.02,0.6,0.6,0.8,0.5934836308743798,0.010562887114381287,0.05987259091555308
